OBJECTID *,year_,N_breaks_km,mbroken_km,KWh_m,kg_CO2_m,cost_m,cost_discount_y,lifetime,energy_y,GHG_y
1,1,0.009,0.0054,0.0001242,0.001554,0.000255,0.000255,25,0.002122,0.001554
2,2,0.00975,0.00585,0.000134544,0.001683,0.000276,0.000265,25,0.002299,0.001683
3,3,0.010562,0.006337,0.00014575,0.001823,0.000299,0.000276,25,0.00249,0.001823
4,4,0.011441,0.006865,0.000157889,0.001975,0.000324,0.000288,25,0.002698,0.001975
5,5,0.012394,0.007436,0.000171039,0.002139,0.000351,0.0003,25,0.002923,0.002139
6,6,0.013426,0.008056,0.000185285,0.002318,0.00038,0.000312,25,0.003166,0.002318
7,7,0.014545,0.008727,0.000200716,0.002511,0.000412,0.000325,25,0.00343,0.002511
8,8,0.015756,0.009454,0.000217434,0.00272,0.000446,0.000339,25,0.003715,0.00272
9,9,0.017068,0.010241,0.000235543,0.002946,0.000483,0.000353,25,0.004025,0.002946
10,10,0.01849,0.011094,0.000255161,0.003192,0.000523,0.000368,25,0.00436,0.003192
11,11,0.02003,0.012018,0.000276412,0.003458,0.000567,0.000383,25,0.004723,0.003458
12,12,0.021698,0.013019,0.000299434,0.003746,0.000614,0.000399,25,0.005116,0.003746
13,13,0.023505,0.014103,0.000324373,0.004057,0.000665,0.000415,25,0.005543,0.004057
14,14,0.025463,0.015278,0.000351389,0.004395,0.00072,0.000433,25,0.006004,0.004395
15,15,0.027584,0.01655,0.000380655,0.004761,0.000781,0.000451,25,0.006504,0.004761
16,16,0.029881,0.017929,0.000412359,0.005158,0.000846,0.000469,25,0.007046,0.005158
17,17,0.03237,0.019422,0.000446703,0.005588,0.000916,0.000489,25,0.007633,0.005588
18,18,0.035066,0.021039,0.000483907,0.006053,0.000992,0.000509,25,0.008269,0.006053
19,19,0.037986,0.022792,0.00052421,0.006557,0.001075,0.000531,25,0.008957,0.006557
20,20,0.04115,0.02469,0.00056787,0.007103,0.001164,0.000553,25,0.009703,0.007103
21,21,0.044577,0.026746,0.000615167,0.007695,0.001261,0.000576,25,0.010511,0.007695
22,22,0.04829,0.028974,0.000666402,0.008336,0.001366,0.0006,25,0.011387,0.008336
23,23,0.052312,0.031387,0.000721905,0.00903,0.00148,0.000625,25,0.012335,0.00903
24,24,0.056669,0.034001,0.00078203,0.009782,0.001604,0.000651,25,0.013363,0.009782
25,25,0.061389,0.036833,0.000847163,0.010597,0.001737,0.000678,25,0.014475,0.010597
26,26,0.066502,0.039901,0.000917721,0.011479,0.001882,0.000706,25,0.015681,0.011479
27,27,0.07204,0.043224,0.000994155,0.012436,0.002038,0.000735,25,0.016987,0.012436
28,28,0.07804,0.046824,0.001076955,0.013471,0.002208,0.000766,25,0.018402,0.013471
29,29,0.08454,0.050724,0.001166652,0.014593,0.002392,0.000798,25,0.019935,0.014593
30,30,0.091581,0.054949,0.001263819,0.015809,0.002591,0.000831,25,0.021595,0.015809
31,31,0.099209,0.059525,0.001369079,0.017125,0.002807,0.000866,25,0.023393,0.017125
32,32,0.107471,0.064483,0.001483105,0.018552,0.003041,0.000902,25,0.025342,0.018552
33,33,0.116422,0.069853,0.001606629,0.020097,0.003294,0.000939,25,0.027452,0.020097
34,34,0.126119,0.075671,0.00174044,0.021771,0.003569,0.000978,25,0.029739,0.021771
35,35,0.136623,0.081974,0.001885396,0.023584,0.003866,0.001019,25,0.032216,0.023584
36,36,0.148002,0.088801,0.002042425,0.025548,0.004188,0.001061,25,0.034899,0.025548
37,37,0.160328,0.096197,0.002212533,0.027676,0.004537,0.001105,25,0.037805,0.027676
38,38,0.173682,0.104209,0.002396808,0.029981,0.004914,0.001151,25,0.040954,0.029981
39,39,0.188147,0.112888,0.002596431,0.032478,0.005324,0.001199,25,0.044365,0.032478
40,40,0.203817,0.12229,0.00281268,0.035183,0.005767,0.001249,25,0.04806,0.035183
41,41,0.220793,0.132476,0.00304694,0.038113,0.006248,0.001301,25,0.052063,0.038113
42,42,0.239182,0.143509,0.003300711,0.041288,0.006768,0.001355,25,0.056399,0.041288
43,43,0.259103,0.155462,0.003575618,0.044726,0.007332,0.001412,25,0.061096,0.044726
44,44,0.280683,0.16841,0.00387342,0.048451,0.007942,0.001471,25,0.066185,0.048451
45,45,0.30406,0.182436,0.004196026,0.052487,0.008604,0.001532,25,0.071697,0.052487
46,46,0.329384,0.19763,0.004545501,0.056858,0.00932,0.001596,25,0.077669,0.056858
47,47,0.356818,0.214091,0.004924082,0.061594,0.010097,0.001662,25,0.084138,0.061594
48,48,0.386536,0.231922,0.005334195,0.066724,0.010937,0.001731,25,0.091145,0.066724
49,49,0.418729,0.251238,0.005778464,0.072281,0.011848,0.001803,25,0.098736,0.072281
50,50,0.453604,0.272162,0.006259735,0.078301,0.012835,0.001878,25,0.10696,0.078301
