OBJECTID *,MIN_ELEV,MAX_Elev,MEAN_Elev,grid_ID,NEAR_facility,length_m,Z_MAX_route,pop_density_current,SUM_pop,Facility_Elevation,Head_central_elevation,slope_index,sewershed,collection_MJ_m3,actual_length
1,22.696404,69.908691,64.453753,655,2,11471.15402,54.453753,50000,18.467402,6.96643,57.487323,0.056655,Richmond,0.28,518.209328
2,18.988033,48.952579,64.453753,654,2,11366.52455,54.453753,50000,17.968283,6.96643,57.487323,0.035957,Richmond,0.28,501.527439
3,2.353729,42.613869,64.453753,653,2,11822.95437,54.453753,50000,16.970045,6.96643,57.487323,0.048312,Richmond,0.28,475.656866
4,-0.020626,25.339285,64.453753,676,2,12374.83445,54.453753,50000,8.019683,6.96643,57.487323,0.030432,Richmond,0.28,627.293244
5,5.394909,44.395096,20.424064,694,1,9835.44917,10.424064,50000,4273.41439,6.283307,19.111602,0.0468,North Shore,0.32,746.487089
6,4.780093,30.120485,20.424064,716,1,10096.04694,10.424064,50000,4279.71838,6.283307,18.496786,0.030408,North Shore,0.32,817.022121
7,36.440525,69.625427,64.453753,656,2,13190.06288,54.453753,40000,18.467402,6.96643,57.487323,0.039822,Richmond,0.28,486.845583
8,76.098854,92.60276,90.944589,488,2,9833.968504,80.944589,40000,5.797538,6.96643,89.132424,0.019805,Richmond,0.28,916.386013
9,75.39917,97.672867,88.791124,489,1,11894.97237,78.791124,40000,5.565636,6.283307,89.115863,0.026728,Sunset,0.28,1114.776975
10,66.729042,85.963837,88.120412,547,2,11493.66647,78.120412,40000,5.798093,6.96643,81.153982,0.023082,Richmond,0.28,1727.587127
11,68.657227,78.465141,88.120412,546,2,10995.83122,78.120412,40000,5.566169,6.96643,81.690797,0.011769,Richmond,0.28,1229.751882
12,68.459793,98.24762,87.268896,486,2,9033.383059,77.268896,40000,5.720237,6.96643,81.493363,0.035745,Sunset,0.28,481.069314
13,70.277573,81.516502,87.268896,487,2,9211.530028,77.268896,40000,5.565636,6.96643,83.311143,0.013487,Richmond,0.28,659.216282
14,63.055611,128.161987,77.700935,485,2,8224.392658,67.700935,40000,5.720237,6.96643,76.089181,0.078128,Sunset,0.28,447.881372
15,62.322388,77.290443,75.455755,545,2,10307.27701,65.455755,40000,5.720785,6.96643,75.355958,0.017962,Richmond,0.28,1137.502176
16,52.261124,71.949814,70.973819,484,2,8109.462316,60.973819,40000,5.565636,6.96643,65.294694,0.023626,Sunset,0.28,1038.590659
17,54.654163,90.334671,65.517989,544,2,10696.24335,55.517989,40000,5.720785,6.96643,67.687733,0.042817,Richmond,0.28,664.648646
18,46.209637,90.263992,64.453753,543,2,9230.284826,54.453753,40000,5.566169,6.96643,59.243207,0.052865,Richmond,0.28,127.531454
19,46.856514,61.08783,64.453753,542,2,9211.166984,54.453753,40000,5.798093,6.96643,59.890084,0.017078,Richmond,0.28,127.163803
20,26.659515,46.566475,50.75904,510,2,8040.525336,40.75904,40000,5.429637,6.96643,43.79261,0.023888,Sunset,0.28,691.278557
21,24.894915,46.430691,40.873391,451,2,5847.600487,30.873391,40000,5.64266,6.96643,37.928485,0.025843,Sunset,0.28,145.446272
22,19.636089,38.367733,29.73623,508,2,6423.354076,19.73623,40000,5.429637,6.96643,32.669659,0.022478,Sunset,0.28,136.558998
23,16.64757,30.713234,28.123101,450,2,5044.638846,18.123101,40000,5.719956,6.96643,29.68114,0.016879,Sunset,0.28,549.828048
24,7.927651,26.612795,20.030549,507,2,5437.708693,10.030549,40000,6.431217,6.96643,20.961221,0.022422,Sunset,0.28,729.58804
25,2.642646,19.904688,18.506185,449,2,4468.614079,8.506185,40000,5.719956,6.96643,15.676216,0.020714,Sunset,0.28,901.554744
26,73.73838,89.904655,88.791124,519,1,11416.16233,78.791124,35000,1376.123754,6.283307,87.455073,0.0194,Channel,0.154,862.005412
27,38.295948,66.446793,49.35595,452,2,6297.943769,39.35595,35000,5.719956,6.96643,51.329518,0.033781,Sunset,0.28,313.349137
28,18.548246,75.385361,29.272243,715,1,9519.667453,19.272243,35000,4379.895248,6.283307,32.264939,0.068205,North Shore,0.32,1127.2613
29,76.465919,100.186707,88.791124,490,1,11796.38857,78.791124,35000,5.720237,6.283307,90.182612,0.028465,Channel,0.154,1016.193177
30,73.993195,91.139938,84.194606,520,1,10359.60634,74.194606,35000,61.68627,6.283307,87.709888,0.020576,Channel,0.154,578.810168
31,10.741327,21.29002,21.309942,617,1,8022.894089,11.309942,35000,7844.8351,6.283307,24.45802,0.012658,Channel,0.154,560.299639
32,10.30028,23.438429,21.309942,646,1,8747.792082,11.309942,35000,776.273171,6.283307,24.016973,0.015766,Channel,0.154,582.926788
33,13.890308,79.477402,25.169072,386,1,2478.363434,15.169072,35000,14.085218,6.283307,27.607001,0.078705,Islais Creek,0.28,470.913841
34,4.923895,29.210037,18.189116,357,1,1705.37641,8.189116,35000,14.084527,6.283307,18.640588,0.029143,Islais Creek,0.28,612.030222
35,6.91024,75.212128,17.511995,387,1,1997.762702,7.511995,35000,14.476474,6.283307,20.626933,0.081962,Islais Creek,0.28,600.050012
36,5.449797,24.171516,16.310536,388,1,2390.6804,6.310536,35000,14.672102,6.283307,19.16649,0.022466,Islais Creek,0.28,78.246931
37,6.023044,19.942577,16.643224,269,1,320.914175,6.643224,35000,14.683405,6.283307,19.739737,0.016703,Islais Creek,0.28,1.153644
38,43.766052,63.028725,69.761154,483,2,7436.179683,59.761154,35000,5.797538,6.96643,62.794724,0.023115,Sunset,0.28,465.178809
39,13.852418,37.51823,24.237852,645,1,8815.713901,14.237852,35000,8964.704818,6.283307,27.569111,0.028399,Channel,0.154,637.715357
40,18.254522,41.649208,29.493508,736,1,9532.486314,19.493508,35000,4853.944999,6.283307,31.971215,0.028074,North Shore,0.32,1140.080161
41,6.187946,23.24444,16.94847,268,1,622.936777,6.94847,30000,65.33509,6.283307,19.904639,0.020468,Islais Creek,0.28,107.51204
42,69.756348,113.129387,79.286183,521,1,10094.97391,69.286183,30000,372.690162,6.283307,83.473041,0.052048,Channel,0.154,552.346925
43,6.721974,70.042122,20.424064,737,1,10148.80734,10.424064,30000,4297.053511,6.283307,20.438667,0.075984,North Shore,0.32,869.782519
44,7.860847,70.225388,20.424064,757,1,12236.53663,10.424064,30000,3583.201799,6.283307,21.57754,0.074837,North Shore,0.32,435.1987
45,2.607988,90.406059,20.424064,758,1,10505.10398,10.424064,30000,2333.603569,6.283307,16.324681,0.105358,North Shore,0.32,195.211936
46,28.093887,88.673172,39.980496,693,1,9904.400207,29.980496,30000,4773.284013,6.283307,41.81058,0.072695,North Shore,0.32,1368.195561
47,21.629528,39.14883,31.895214,644,1,8497.17152,21.895214,30000,1760.464421,6.283307,35.346221,0.021023,Channel,0.154,745.402668
48,17.587561,31.829231,27.728516,616,1,8120.802322,17.728516,30000,1760.377931,6.283307,31.304254,0.01709,Channel,0.154,310.583493
49,5.70385,37.253834,20.424064,756,1,12353.00161,10.424064,30000,4329.201167,6.283307,19.420543,0.03786,North Shore,0.32,473.563865
50,24.235987,70.758911,35.79029,669,1,9219.295085,25.79029,30000,4564.239258,6.283307,37.95268,0.055828,Channel,0.154,1041.296541
51,15.454591,54.483833,25.853855,670,1,9475.36647,15.853855,30000,4125.939646,6.283307,29.171284,0.046835,Channel,0.154,939.161825
52,37.693729,69.895767,48.493357,540,2,7448.034684,38.493357,30000,567.257011,6.96643,50.727299,0.038642,Sunset,0.28,929.413366
53,37.524033,70.198708,48.544103,668,1,9278.047331,38.544103,30000,4628.895123,6.283307,51.240726,0.03921,Channel,0.154,709.580979
54,3.35041,9.176988,20.424064,773,1,12334.98961,10.424064,23790,378.745864,6.283307,17.067103,0.006992,North Shore,0.32,436.755993
55,42.5994,105.077141,52.358982,714,1,10043.53912,42.358982,21364,4753.09939,6.283307,56.316093,0.074973,North Shore,0.32,1738.270586
56,8.44317,27.509604,26.070436,526,1,6627.556738,16.070436,20933,2546.269695,6.283307,22.159863,0.02288,Channel,0.154,408.087741
57,3.827841,7.894292,21.309942,502,1,5254.497119,11.309942,19515,480.283443,6.283307,17.544534,0.00488,Channel,0.154,308.197582
58,3.257773,6.925836,21.309942,503,1,4832.983553,11.309942,19515,493.62465,6.283307,16.974466,0.004402,Channel,0.154,310.468287
59,3.865946,6.79916,21.309942,530,1,6092.487787,11.309942,19515,474.879237,6.283307,17.582639,0.00352,Channel,0.154,130.627969
60,1.68197,6.626411,21.309942,592,1,5700.953452,11.309942,19515,752.285125,6.283307,15.398663,0.005933,Channel,0.154,197.501788
61,1.437792,4.673964,21.309942,561,1,5616.419505,11.309942,19515,480.329418,6.283307,15.154485,0.003883,Channel,0.154,952.899897
62,-0.004091,4.662148,21.309942,531,1,5457.88504,11.309942,19515,455.884068,6.283307,15.026635,0.005599,Channel,0.154,511.585503
63,-0.016708,2.18832,21.309942,563,1,5621.242812,11.309942,19515,500.343144,6.283307,15.026635,0.002646,Channel,0.154,320.010667
64,-0.013286,2.066151,21.309942,562,1,5696.408525,11.309942,19515,493.671902,6.283307,15.026635,0.002495,Channel,0.154,243.004056
65,-0.029105,9.258284,20.424064,476,1,3391.161934,10.424064,19515,480.259862,6.283307,14.140757,0.011145,Islais Creek,0.28,28.344194
66,4.1808,55.321709,21.309942,474,1,5036.427133,11.309942,19515,518.506811,6.283307,17.897493,0.061369,Islais Creek,0.28,333.357652
67,51.41806,76.133522,61.857673,690,1,9923.048643,51.857673,19499,2768.877778,6.283307,65.134753,0.029659,Channel,0.154,669.820716
68,13.795856,29.272499,26.070436,556,1,7002.466919,16.070436,19094,2407.970491,6.283307,27.512549,0.018572,Channel,0.154,627.539439
69,4.481625,18.878675,21.309942,501,1,5745.823345,11.309942,18719,500.295253,6.283307,18.198318,0.017276,Channel,0.154,96.082034
70,2.099684,3.884511,21.309942,591,1,6360.176738,11.309942,18550,1316.070123,6.283307,15.816377,0.002142,Channel,0.154,906.772268
71,22.875795,52.958618,32.583596,525,1,7160.98023,22.583596,17112,2228.69082,6.283307,36.592488,0.036099,Channel,0.154,483.994542
72,39.555199,73.915459,49.5998,667,1,9450.485233,39.5998,16783,2158.605088,6.283307,53.271892,0.041232,Channel,0.154,574.488005
73,8.443828,22.02792,26.070436,497,1,6588.654713,16.070436,16626,2947.161894,6.283307,22.160521,0.016301,Channel,0.154,369.185716
74,24.254017,38.992142,36.272627,509,2,7223.217176,26.272627,16452,5.356264,6.96643,37.287587,0.017686,Sunset,0.28,453.342115
75,-0.001084,11.488613,20.424064,738,1,9817.765057,10.424064,16429,3217.376132,6.283307,14.140757,0.013788,North Shore,0.32,183.787861
76,2.342122,6.19678,20.424064,717,1,9470.877403,10.424064,16429,496.125422,6.283307,16.058815,0.004626,North Shore,0.32,413.147201
77,0,3.269939,20.424064,718,1,9074.205667,10.424064,16429,498.589139,6.283307,14.140757,0.003924,Channel,0.154,336.588801
78,-0.011392,2.358807,20.424064,739,1,9387.004108,10.424064,16429,362.382014,6.283307,14.140757,0.002844,North Shore,0.32,176.950385
79,10.578758,18.577961,26.070436,468,1,6162.873353,16.070436,15586,3023.11811,6.283307,24.295451,0.009599,Channel,0.154,684.901297
80,-0.020354,44.365593,20.424064,775,1,10854.80858,10.424064,15563,342.411889,6.283307,14.140757,0.053263,North Shore,0.32,201.238312
81,50.551044,84.736427,60.846407,638,1,11257.47465,50.846407,14973,1817.481416,6.283307,64.267737,0.041022,Channel,0.154,835.79351
82,42.260521,64.545815,52.580618,639,1,10648.96015,42.580618,14973,1842.378422,6.283307,55.977214,0.026742,Channel,0.154,801.462783
83,51.678661,89.133293,62.681274,666,1,10317.50967,52.681274,14796,1740.939014,6.283307,65.395354,0.044946,Channel,0.154,1596.392558
84,38.930672,44.935116,49.238841,640,1,9911.232338,39.238841,14366,2239.040709,6.283307,52.647365,0.007205,Channel,0.154,687.035174
85,37.100815,51.12254,47.814147,641,1,9834.538859,37.814147,14268,2316.914504,6.283307,50.817508,0.016826,Channel,0.154,646.238648
86,12.769506,32.206696,29.279514,439,1,5695.121865,19.279514,14245,3022.969701,6.283307,26.486199,0.023325,Channel,0.154,559.754744
87,45.168446,84.010612,55.818409,665,1,10264.3358,45.818409,14130,1825.335932,6.283307,58.885139,0.046611,Channel,0.154,809.487871
88,30.8941,53.062157,41.854807,524,1,7706.799835,31.854807,14032,2141.490699,6.283307,44.610793,0.026602,Channel,0.154,544.114748
89,38.471035,69.04496,54.3024,642,1,9261.056513,44.3024,13963,2443.922279,6.283307,52.187728,0.036689,Channel,0.154,2007.183304
90,32.362473,63.715446,43.01971,643,1,9061.384333,33.01971,13865,2477.400667,6.283307,46.079166,0.037624,Channel,0.154,1450.449828
91,24.592827,97.43531,32.500165,735,1,12634.94859,22.500165,13826,3132.741974,6.283307,38.30952,0.087411,North Shore,0.32,833.61066
92,53.105976,101.014656,70.264624,713,1,10977.23165,60.264624,13820,2980.708096,6.283307,66.822669,0.05749,North Shore,0.32,1487.891023
93,38.787247,96.592049,47.667315,734,1,13095.72684,37.667315,13534,2750.059627,6.283307,52.50394,0.069366,North Shore,0.32,1216.2891
